"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2011,30,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","Stieg Larsson",4.7,8475,17.24
2011,31,"Water for Elephants: A Novel","Sara Gruen",4.6,9256,12.34
2011,32,"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni",4.6,3792,19.54
2011,33,"The Lego Ideas Book: Unlock Your Imagination","Daniel Lipkowitz",4.4,5753,21.15
2011,34,"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp",4.6,3575,13.21
2011,35,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",4.6,10715,33.77
2011,36,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever","Pierre Dukan",4.1,2202,16.94
2011,37,"The Throne of Fire (The Kane Chronicles, Book 2)","Rick Riordan",4.8,1915,14.2
2011,38,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris",4.3,2410,14.17
2011,39,"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins",4.5,3918,13.99
2011,40,"The Litigators","John Grisham",4.4,6870,16.71
2011,41,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell",4.3,1780,19.96
2011,42,"The Help","Kathryn Stockett",4.8,14772,7.59
2011,43,"Thinking, Fast and Slow","Daniel Kahneman",4.6,14675,20.49
2011,44,"The Paris Wife: A Novel","Paula McLain",4.4,4026,23.94
2011,45,"Radical: Taking Back Your Faith from the American Dream","David Platt",4.7,2241,0.25
2011,46,"The Art of Racing in the Rain: A Novel","Garth Stein",4.7,13039,0.94
2011,47,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov",4.5,704,19.9
2011,48,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD",4.5,7406,0.35
2011,49,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…","Thomas Campbell",4.7,4849,16.17
2011,50,"What to Expect When You're Expecting","Heidi Murkoff",4.4,3467,14.99
2011,51,"The Best of Me","Nicholas Sparks",4.6,6112,20.46
2011,52,"Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy","Jacqueline Kennedy",4.3,525,19.88
2011,53,"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson",4.4,11516,9.99
2011,54,"The Greater Journey: Americans in Paris","David McCullough",4.5,1204,33
2011,55,"Switch: How to Change Things When Change Is Hard","Chip Heath",4.6,2383,14.49
2011,56,"Every Thing On It","Shel Silverstein",4.9,928,1.99
2011,57,"Miss Peregrine's Home for Peculiar Children","Ransom Riggs",4.4,10925,14.16
2011,58,"Moonwalking With Einstein: The Art and Science of Remembering Everything","Joshua Foer",4.5,3365,2.21
2011,59,"The Great Gatsby","F. Scott Fitzgerald",4.4,10814,8.74
2011,60,"The Help","Kathryn Stockett",4.8,14772,14.97
2011,61,"1Q84: A novel","Haruki Murakami",4.3,2711,25.43
2011,62,"Boomerang: Travels in the New Third World","Michael Lewis",4.4,1448,15.99
2011,63,"Who Moved My Cheese","Spencer Johnson",4.6,9491,8.84
2011,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","Tom Rath",4.5,1647,21.97
2011,65,"Elder Scrolls V: Skyrim: Prima Official Game Guide","David Hodgson",4.6,1320,51.99
2011,66,"The Glass Castle: A Memoir","Jeannette Walls",4.6,11053,1.55
2011,67,"The Book Thief","Markus Zusak",4.6,25974,0.35
2011,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","Timothy Ferriss",4.5,10766,8.19
