title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
Never Split the Difference,Missing,4.4,English,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Leadership', 'Communication', 'Audiobook', 'Management', 'Buisness']",Hardcover,274,Harper Business,5/17/2016,0,58826,"['32947', '18476', '5750', '1086', '567']",97,Missing,Missing,Chris Voss,Missing,Missing,,,,,,,
Ninth House,Alex Stern #1,4.05,English,"['Fantasy', 'Fiction', 'Mystery', 'Adult', 'Paranormal', 'Urban Fantasy', 'Contemporary', 'Horror', 'Magic', 'Audiobook']",Hardcover,459,Flatiron Books,10/8/2019,"['Locus Award Nominee for Best Fantasy Novel (2020)', 'Shirley Jackson Award Nominee for Best Novel (2019)', 'Audie Award Nominee for Fantasy (2020)', 'Goodreads Choice Award for Fantasy (2019)', 'Ladies of Horror Fiction Award Nominee for Best Novel (2019)']",86766,"['31909', '34591', '14769', '3909', '1588']",94,"['Yale University, New Haven, Connecticut (United States)']",Missing,Leigh Bardugo,Missing,Missing,,,,,,,
Normal People,Missing,3.86,English,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Ireland', 'Audiobook', 'Adult', 'Novels', 'Adult Fiction', 'Irish Literature']",Hardcover,273,Hogarth Press,4/16/2019,"['Booker Prize Nominee for Longlist (2018)', 'Costa Book Award for Novel (2018)', 'Dylan Thomas Prize Nominee for Longlist (2019)', ""Women's Prize for Fiction Nominee for Longlist (2019)"", 'Goodreads Choice Award Nominee for Fiction (2019)', 'The Rooster -- The Morning News Tournament of Books (2020)']",405001,"['123183', '150663', '91765', '29565', '9825']",90,['Ireland'],Missing,Sally Rooney,Missing,Missing,,,,,,,
Norse Mythology,Missing,4.08,English,"['Fantasy', 'Mythology', 'Fiction', 'Audiobook', 'Short Stories', 'Classics', 'Adult', 'Historical Fiction', 'Retellings', 'Religion']",Paperback,301,W. W. Norton & Company,3/6/2018,['Goodreads Choice Award Nominee for Fantasy (2017)'],214833,"['77206', '90549', '37767', '6564', '2747']",96,Missing,2017,Neil Gaiman,8355,20.23,,,,,,,
Northern Lights,Missing,4.01,English,"['Romance', 'Romantic Suspense', 'Mystery', 'Fiction', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Chick Lit', 'Thriller', 'Crime']",Mass Market Paperback,637,Jove,9/27/2005,0,39967,"['14008', '14730', '9127', '1724', '378']",95,"['Lunacy, Alaska (United States)']",Missing,Philip Pullman,Missing,Missing,,,,,,,
Of Mice and Men,Missing,3.88,English,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Paperback,103,Penguin Books,1/8/2002,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]",1942168,"['634457', '681382', '437709', '132901', '55719']",90,"['Salinas Valley, California (United States)', 'California (United States)']",2014,John Steinbeck,13001,0.35,,,,,,,
"Oh, the Places You'll Go!",Missing,4.35,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",Hardcover,44,Random House Books for Young Readers,1/22/1990,0,328451,"['194372', '77411', '40683', '10548', '5437']",95,Missing,2011,Dr. Seuss,16856,8.98,,,,,,,
Olive Kitteridge,Olive Kitteridge #1,3.83,English,"['Fiction', 'Short Stories', 'Literary Fiction', 'Contemporary', 'Book Club', 'Adult Fiction', 'Adult', 'Novels', 'Literature', 'Audiobook']",Hardcover,270,Random House,3/25/2008,"['Pulitzer Prize for Fiction (2009)', 'Premio Bancarella (2010)', 'National Book Critics Circle Award Nominee for Fiction (2008)', 'Premi Llibreter de narrativa for Altres literatures (2010)']",171636,"['48905', '65513', '40548', '12471', '4199']",90,"['Crosby, Maine (United States)', 'Maine (United States)']",Missing,Elizabeth Strout,Missing,Missing,,,,,,,
On Earth We're Briefly Gorgeous,Missing,4.05,English,"['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Literary Fiction', 'Queer', 'Novels', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,246,Penguin Press,6/4/2019,"['National Book Award Nominee for Fiction (2019)', 'PEN/Hemingway Foundation Award Nominee for Longlist (2020)', 'The Center for Fiction First Novel Prize Nominee (0)', 'Kirkus Prize Nominee for Fiction (2019)', 'Goodreads Choice Award Nominee for Fiction and for Debut Novel (2019)']",70134,"['26968', '25186', '13268', '3613', '1099']",93,Missing,Missing,Ocean Vuong,Missing,Missing,,,,,,,
On the Night You Were Born,Missing,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Poetry', 'Love', 'Kids', 'Inspirational', 'Art']",Hardcover,32,Feiwel & Friends,10/17/2006,0,14667,"['8715', '3386', '1853', '527', '186']",95,Missing,Missing,Nancy Tillman,Missing,Missing,,,,,,,
Once,Eve #2,3.9,English,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Post Apocalyptic', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Audiobook']",Hardcover,354,HarperCollins,7/3/2012,0,18821,"['6073', '6577', '4646', '1185', '340']",92,"['Sausalito, California (United States)', 'Las Vegas, Nevada (United States)']",Missing,Morris Gleitzman,Missing,Missing,,,,,,,
One Day in December,Missing,3.95,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Christmas', 'Audiobook', 'Adult', 'Contemporary Romance', 'Adult Fiction', 'Holiday']",Paperback,393,Ballantine Books,10/16/2018,0,146779,"['45661', '60101', '31028', '7383', '2606']",93,"['London, England']",Missing,Josie Silver,Missing,Missing,,,,,,,
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Missing,4.02,English,"['Christian', 'Nonfiction', 'Faith', 'Christian Living', 'Spirituality', 'Christianity', 'Inspirational', 'Self Help', 'Religion', 'Christian Non Fiction']",Hardcover,232,Zondervan,1/26/2011,0,47547,"['21798', '12430', '7821', '3277', '2221']",88,Missing,2011,Ann Voskamp,3575,13.21,,,,,,,
Orphan Train,Missing,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult Fiction', 'Adult', 'Young Adult', 'Audiobook', 'Adoption', 'Contemporary']",Paperback,278,William Morrow Paperbacks,4/2/2013,"['Lincoln Award Nominee (2016)', 'Maine Literary Award Nominee for Fiction (Finalist) (2014)', 'Goodreads Choice Award Nominee for Fiction (2013)', 'RT Reviewers Choice Award for Mainstream Fiction (2013)']",372839,"['145679', '159626', '56072', '8882', '2580']",97,['Maine (United States)'],2014,Christina Baker Kline,22582,11.78,,,,,,,
Out of My Mind,Missing,4.37,English,"['Realistic Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Childrens', 'Disability', 'School', 'Juvenile', 'Family']",Hardcover,295,Atheneum Books for Young Readers,3/9/2010,"['Josette Frank Award (2011)', ""Buckeye Children's Book Award for 6-8 (2011)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2013)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2012)"", 'New Mexico Land of Enchantment Award for Young Adult (2013)', 'California Young Readers Medal for Middle School/Junior High (2013)', 'Washington State Sasquatch Award (2013)', 'Bluestem Book Award (2013)', ""Goodreads Choice Award Nominee for Middle Grade & Children's Books (2010)"", 'Intermediate Nutmeg Book Award (2014)', ""Rebecca Caudill Young Readers' Book Award Nominee (2013)"", 'لاک\u200cپشت پرنده Nominee (2016)', 'Premi Protagonista Jove for Categoria 13-14 anys (2015)']",110899,"['61258', '34129', '12199', '2392', '921']",97,['Ohio (United States)'],Missing,Sharon M. Draper,Missing,Missing,,,,,,,
Outliers: The Story of Success,Missing,4.16,English,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook', 'Personal Development', 'Economics', 'Leadership']",Hardcover,309,"Little, Brown and Company",11/18/2008,0,556065,"['232206', '214572', '84952', '17317', '7018']",96,Missing,2010,Malcolm Gladwell,13499,20.54,,,,,,,
Pachinko,Missing,4.26,English,"['Historical Fiction', 'Fiction', 'Historical', 'Japan', 'Asia', 'Audiobook', 'Literary Fiction', 'Adult', 'Novels', 'Asian Literature']",Kindle Edition,496,Grand Central Publishing,2/7/2017,"['Dayton Literary Peace Prize Nominee for Fiction (2018)', 'National Book Award Finalist for Fiction (2017)', 'Goodreads Choice Award Nominee for Historical Fiction (2017)', 'Reading Women Award for Fiction (2017)', 'Litsy Award for Historical Fiction (2017)', 'International Dublin Literary Award Nominee (2019)']",208171,"['95072', '80901', '26000', '4650', '1548']",97,"['Korea', 'Osaka (Japan)', 'Busan (Korea, Republic of)']",Missing,Min Jin Lee,Missing,Missing,,,,,,,
Paper Towns,Missing,3.8,English,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Adventure', 'Young Adult Contemporary']",Paperback,305,Speak,9/22/2009,"[""Anthony Award Nominee for Best Children's/Young Adult Novel (2009)"", 'Edgar Award for Best Young Adult (2009)', 'Rhode Island Teen Book Award Nominee (2010)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2011)', 'The Inky Awards Nominee for Silver Inky (2009)', 'Lincoln Award Nominee (2011)', 'Bronzener Lufti (2010)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Missouri Gateway Readers Award Nominee (2011)', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2010)']",919337,"['280793', '302511', '232162', '77816', '26055']",89,"['Orlando, Florida (United States)', 'Agloe, New York (United States)']",2014,John Green,8374,0.35,,,,,,,
Pillow Thoughts,Pillow Thoughts #1,3.83,English,"['Poetry', 'LGBT', 'Nonfiction', 'Romance', 'Contemporary', 'Adult', 'Audiobook', 'Love', 'Mental Health', 'Self Help']",Paperback,272,Andrews McMeel Publishing,8/29/2017,0,14511,"['5170', '4132', '3370', '1278', '561']",87,Missing,Missing,Courtney Peppernell,Missing,Missing,,,,,,,
Plenty,Missing,4.22,English,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Vegetarian', 'Food and Drink', 'Culinary', 'Cuisine', 'Health']",Hardcover,288,"Ebury Publishing, Random House",5/1st/2010,0,15687,"['8304', '4326', '1800', '699', '558']",92,Missing,Missing,Yotam Ottolenghi,Missing,Missing,,,,,,,
Principles: Life and Work,Missing,4.12,English,"['Business', 'Nonfiction', 'Self Help', 'Leadership', 'Finance', 'Personal Development', 'Philosophy', 'Biography', 'Management', 'Economics']",Audio CD,592,Simon Schuster Audio,9/19/2017,0,32123,"['14288', '10448', '5045', '1575', '767']",93,Missing,2017,Ray Dalio,6555,11.5,,,,,,,
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Missing,3.7,English,"['Nonfiction', 'Spirituality', 'Religion', 'Memoir', 'Biography', 'Science', 'Christian', 'Inspirational', 'Medical', 'Faith']",Paperback,196,Simon Schuster,10/23/2012,0,52050,"['14777', '16365', '13662', '4876', '2370']",86,Missing,2012,Eben Alexander,14169,0.35,,,,,,,
Quiet: The Power of Introverts in a World That Can't Stop Talking,Quiet,4.06,English,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development', 'Sociology', 'Leadership', 'Adult']",Hardcover,333,"Crown Publishing Group/Random House, Inc.",1/24/2012,"['Guardian First Book Award Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2015)', 'Goodreads Choice Award for Nonfiction (2012)']",323829,"['126571', '119856', '55832', '14027', '7543']",93,Missing,2012,Susan Cain,12045,19.1,,,,,,,
Rage,Missing,3.77,English,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Novels', 'Short Stories', 'Suspense', 'Audiobook', 'American', 'Mystery Thriller']",Paperback,131,Signet,9/6/1977,0,33792,"['9319', '11519', '9642', '2652', '660']",90,Missing,2020,Bob Woodward,23281,12,,,,,,,
Red Queen,Red Queen #1,4.04,English,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Science Fiction', 'Audiobook', 'Paranormal']",Hardcover,383,HarperTeen,2/10/2015,"['Buxtehuder Bulle (2015)', 'South Carolina Book Award for Young Adult (2017)', 'California Young Readers Medal for Young Adult (2017)', 'Lincoln Award (2017)', 'Missouri Truman Readers Award Nominee (2018)', 'Goodreads Choice Award for Debut Goodreads Author, and Nominee for Young Adult Fantasy & Science Fiction (2015)']",565018,"['234646', '184497', '97709', '32051', '16115']",91,Missing,Missing,Victoria Aveyard,Missing,Missing,,,,,,,
Revolting Rhymes,Missing,4.14,English,"['Poetry', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Picture Books', 'Fairy Tales', 'Young Adult', 'Middle Grade']",Paperback,48,Puffin,4/28/2003,['Vlag en Wimpel Penseeljury (1983)'],18036,"['7865', '5992', '3287', '689', '203']",95,Missing,Missing,Roald Dahl,Missing,Missing,,,,,,,
Rework,Missing,3.95,English,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Productivity', 'Self Help', 'Leadership', 'Buisness', 'Personal Development', 'Technology']",Hardcover,279,Crown Business,3/9/2010,['Goodreads Choice Award Nominee for Nonfiction (2010)'],138357,"['54533', '42801', '26650', '8766', '5607']",90,Missing,2010,Jason Fried,2667,21.78,,,,,,,
Room,Missing,4.06,English,"['Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Book Club', 'Audiobook', 'Thriller', 'Drama', 'Realistic Fiction', 'Crime']",Kindle Edition,321,"Little, Brown and Company",9/13/2010,"['Booker Prize Nominee (2010)', 'Orange Prize Nominee for Fiction Shortlist (2011)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"", 'ALA Alex Award (2011)', 'Indies Choice Book Award for Fiction (2011)', 'Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year (2010)', 'Canadian Booksellers Association Libris Award for Fiction Book (2011)', 'Lincoln Award Nominee (2014)', 'Galaxy National Book Award for WHSmith Paperback of the Year (2011)', ""Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2011)"", 'Trillium Book Award Nominee for English-language (2011)', 'UC Book of the Year (2014)', 'Eason Novel of the Year (2010)', ""Rogers Writers' Trust Fiction Prize (2010)"", 'OLA Evergreen Award (2011)', 'Goodreads Choice Award for Fiction (2010)', 'International Dublin Literary Award Nominee (2012)']",714395,"['270390', '275433', '121971', '32204', '14397']",93,Missing,2011,Emma Donoghue,7920,11.88,,,,,,,
Room on the Broom,Missing,4.43,English,"['Picture Books', 'Halloween', 'Childrens', 'Animals', 'Fiction', 'Witches', 'Fantasy', 'Poetry', 'Holiday', 'Storytime']",Paperback,32,Puffin Books,8/25/2003,['Blue Peter Book Award for Best Book to Read Aloud (2003)'],16957,"['10250', '4407', '1778', '323', '199']",97,Missing,Missing,Julia Donaldson,Missing,Missing,,,,,,,
Safe Haven,Missing,4.21,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love', 'Audiobook']",Kindle Edition,353,Grand Central Publishing,9/14/2010,['Goodreads Choice Award Nominee for Romance (2010)'],334532,"['157048', '109549', '53353', '10945', '3637']",96,"['Southport, North Carolina (United States)']",2010,Nicholas Sparks,8952,17.89,,,,,,,
Sapiens: A Brief History of Humankind,Missing,4.42,English,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Anthropology', 'Audiobook', 'Sociology', 'Historical', 'Psychology', 'Evolution']",Paperback,498,Harvill Secker,2014,"['Royal Society of Biology General Book Prize Nominee (2015)', 'J. A. Hollon palkinto (2017)']",502425,"['295807', '143811', '45188', '11210', '6409']",96,Missing,2017,Yuval Noah Harari,32905,9.95,,,,,,,
Sarah's Key,Missing,4.16,English,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'World War II', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']",Hardcover,294,St. Martins Press,6/28/2007,0,419544,"['176239', '159657', '64355', '14599', '4694']",95,"['Paris (France)', 'Paris (France)']",2010,Tatiana de Rosnay,3951,10.48,,,,,,,
Serpent & Dove,Serpent & Dove #1,4.12,English,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Witches', 'Magic', 'Fiction', 'Paranormal', 'New Adult', 'Audiobook']",Hardcover,513,HarperTeen,9/3/2019,['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Debut Novel (2019)'],62049,"['26176', '22216', '9428', '3106', '1123']",93,Missing,Missing,Shelby Mahurin,Missing,Missing,,,,,,,
Sh*t My Dad Says,Sh*t My Dad Says #1,3.98,English,"['Humor', 'Nonfiction', 'Memoir', 'Comedy', 'Biography', 'Audiobook', 'Adult', 'Family', 'Biography Memoir', 'Autobiography']",Hardcover,159,It Books,5/4/2010,"['Goodreads Choice Award Nominee for Debut Author, Humor  (2010)']",142571,"['52444', '49395', '29940', '7672', '3120']",92,Missing,2010,Justin Halpern,1397,0.99,,,,,,,
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Missing,4.3,English,"['Politics', 'Nonfiction', 'History', 'Audiobook', 'Political Science', 'American History', 'American', 'Social Science', 'Economics', 'Adult']",Audio CD,7,Simon & Schuster Audio,10/2/2018,0,4439,"['2355', '1368', '499', '123', '94']",95,Missing,2018,Tucker Carlson,4940,16.9,,,,,,,
Six of Crows,The Six of Crows Trilogy #1,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic', 'Romance', 'LGBT', 'High Fantasy', 'Audiobook']",Hardcover,465,Henry Holt and Company,9/29/2015,"[""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award Nominee (2018)', 'Evergreen Teen Book Award Nominee (2018)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Lincoln Award (2018)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2016)', 'Hea Noorteraamat (2017)']",315707,"['187881', '90755', '26115', '6821', '4135']",97,['Ketterdam'],Missing,Leigh Bardugo,Missing,Missing,,,,,,,
Snow Falling,Missing,3.37,English,"['Romance', 'Historical Fiction', 'Fiction', 'Adult', 'Historical', 'Chick Lit', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Tv']",Paperback,240,Adams Media,11/14/2017,0,2279,"['466', '549', '757', '378', '129']",78,Missing,Missing,Jane Gloriana Villanueva,Missing,Missing,,,,,,,
Sophie's World,Missing,3.93,English,"['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature', 'Contemporary', 'Unfinished', 'Scandinavian Literature']",Paperback,403,Phoenix,10/28/1995,"['Buxtehuder Bulle (1996)', 'Premio Bancarella (1995)', 'Deutscher Jugendliteraturpreis for Jugendbuch (1994)', 'Prix des libraires du Québec for Lauréats hors Québec (1996)', 'دار المنى', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (1997)', 'Premio San Clemente for Novela Estranxeira (1996)', ""Prime Minister of Pakistan's Award for Literature""]",200234,"['69611', '70306', '42251', '12751', '5315']",91,Missing,Missing,Jostein Gaarder,Missing,Missing,,,,,,,
Spoken from the Heart,Missing,3.99,English,"['Nonfiction', 'Memoir', 'Politics', 'Biography', 'Presidents', 'History', 'Biography Memoir', 'Autobiography', 'Contemporary', 'Adult']",Hardcover,464,Simon & Schuster Adult Publishing Group,5/4/2010,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],7317,"['2459', '2832', '1600', '323', '103']",94,Missing,2010,Laura Bush,563,14,,,,,,,
Start with Why: How Great Leaders Inspire Everyone to Take Action,Missing,4.08,English,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology', 'Audiobook', 'Entrepreneurship', 'Buisness']",Hardcover,256,Portfolio,10/29/2009,0,121834,"['53330', '38633', '20037', '6360', '3474']",92,Missing,2017,Simon Sinek,11995,3.6,,,,,,,
State of Wonder,Missing,3.88,English,"['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction', 'Adult Fiction', 'Adult', 'Mystery', 'Novels', 'Audiobook', 'Adventure']",Hardcover,353,HarperCollins Publishers,6/7/2011,"['Orange Prize Nominee for Fiction Shortlist (2012)', 'Audie Award for Literary Fiction (2012)', 'Wellcome Book Prize Nominee for Shortlist (2011)', 'Goodreads Choice Award Nominee for Fiction and for Favorite Book (2011)']",164487,"['45221', '68455', '38699', '9518', '2594']",93,"['Amazon Rainforest', 'Minneapolis-St. Paul, Minnesota (United States)']",2011,Ann Patchett,2574,25.98,,,,,,,
Sweet,Sweet #1,3.62,English,"['Young Adult', 'Science Fiction', 'Thriller', 'Fiction', 'Survival', 'Romance', 'Suspense', 'Teen', 'Adventure', 'Zombies']",Hardcover,272,Feiwel & Friends,6/2/2015,0,2871,"['714', '914', '802', '325', '116']",85,Missing,Missing,Yotam Ottolenghi,Missing,Missing,,,,,,,
Switch: How to Change Things When Change Is Hard,Missing,4.04,English,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Leadership', 'Personal Development', 'Management', 'Productivity', 'Education', 'Audiobook']",Hardcover,305,Currency,2/16/2010,0,42766,"['16036', '16190', '7671', '1878', '991']",93,Missing,2010,Chip Heath,2383,14.49,,,,,,,
The 13-Storey Treehouse,Treehouse #1,4.05,English,"['Humor', 'Childrens', 'Middle Grade', 'Fiction', 'Fantasy', 'Graphic Novels', 'Adventure', 'Chapter Books', 'Juvenile', 'Comics']",Paperback,256,Pan Macmillan Australia,9/1/2011,"[""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2012)"", 'Australian Book Industry Award (ABIA) for Older Children (ages 8-14) (2012)', 'Bluestem Book Award (2016)']",8424,"['3710', '2408', '1557', '526', '223']",91,Missing,Missing,Andy Griffiths,Missing,Missing,,,,,,,
The 26-Storey Treehouse,Treehouse #2,4.3,English,"['Humor', 'Middle Grade', 'Childrens', 'Fiction', 'Adventure', 'Fantasy', 'Chapter Books', 'Juvenile', 'Graphic Novels', 'Comics']",Paperback,348,Pan Macmillan Australia,9/3/2012,['Australian Book Industry Award (ABIA) for Older Children (ages 8-14) (2013)'],4890,"['2629', '1379', '673', '148', '61']",96,Missing,Missing,Andy Griffiths,Missing,Missing,,,,,,,
The 39-Storey Treehouse,Treehouse #3,4.3,English,"['Fiction', 'Childrens', 'Fantasy', 'Humor', 'Middle Grade', 'Adventure', 'Graphic Novels', 'Chapter Books', 'Young Adult', 'Comedy']",Paperback,352,Pan MacMillan Australia,9/1/2013,['Australian Book Industry Award (ABIA) for Younger Children (ages 0-8) (2014)'],3805,"['2048', '1068', '518', '122', '49']",96,Missing,Missing,Andy Griffiths,Missing,Missing,,,,,,,
The 5 Love Languages: The Secret to Love that Lasts,5 Love Languages,4.25,English,"['Nonfiction', 'Self Help', 'Relationships', 'Psychology', 'Marriage', 'Christian', 'Personal Development', 'Audiobook', 'Love', 'Christianity']",Kindle Edition,209,Northfield Publishing,12/11/2014,['Audie Award for Personal Development/Motivational (2006)'],297637,"['148253', '93589', '41488', '9671', '4636']",95,Missing,2015,Gary Chapman,37833,1.5,,,,,,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Missing,4.12,English,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']",Paperback,372,Free Press,11/9/2004,0,524128,"['236705', '164544', '85282', '24020', '13577']",93,Missing,2010,Stephen R. Covey,10715,33.77,,,,,,,
The Alchemist,Missing,3.88,English,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']",Paperback,182,HarperOne,4/15/2014,"['NBDB National Book Award Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']",2107732,"['805221', '613564', '414410', '172160', '102377']",87,"['Egypt', 'Sahara Desert', 'Tangier (Morocco)', 'Andalusia (Spain)']",2011,Paulo Coelho,41984,37.9,,,,,,,
The Art of War,Missing,3.97,English,"['Nonfiction', 'Classics', 'Philosophy', 'History', 'War', 'Business', 'Politics', 'Military Fiction', 'China', 'Leadership']",Paperback,273,Shambhala,1/11/2005,0,329815,"['117995', '112786', '75545', '18186', '5303']",93,Missing,Missing,Sun Tzu,Missing,Missing,,,,,,,
The Best of Me,Missing,3.94,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love']",Hardcover,292,Grand Central Publishing,10/11/2011,0,144478,"['52184', '47027', '32392', '9975', '2900']",91,"['Oriental, North Carolina (United States)', 'Oriental, North Carolina (United States)']",2011,Nicholas Sparks,6112,20.46,,,,,,,
The Big Short: Inside the Doomsday Machine,Liar's Poker #2,4.29,English,"['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook', 'Money', 'Journalism', 'Contemporary']",Paperback,320,W. W. Norton Company,11/16/2015,"['Los Angeles Times Book Prize for Current Interest (2010)', 'Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2010)', 'Robert F. Kennedy Book Award (2011)', 'Goodreads Choice Award Nominee for Nonfiction (2010)']",132918,"['63648', '49951', '15062', '2844', '1413']",97,Missing,2010,Michael Lewis,3943,18.75,,,,,,,
The Body,Missing,4.26,English,"['Horror', 'Fiction', 'Short Stories', 'Coming Of Age', 'Audiobook', 'Thriller', 'Young Adult', 'Mystery', 'Novella', 'Classics']",Paperback,80,Penguin Books,12/20/1999,0,36450,"['17236', '12754', '5342', '918', '200']",97,"['Castle Rock, Maine (United States)']",Missing,Bill Bryson,Missing,Missing,,,,,,,
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Missing,4.47,English,"['Psychology', 'Nonfiction', 'Self Help', 'Mental Health', 'Health', 'Science', 'Social Work', 'Counselling', 'Audiobook', 'Medicine']",Hardcover,443,Viking,9/25/2014,0,38770,"['24561', '9957', '2802', '829', '621']",96,Missing,2018,Bessel van der Kolk M.D.,19875,12.71,,,,,,,
