title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Out of My Mind,,4.37,English,"['Realistic Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Childrens', 'Disability', 'School', 'Juvenile', 'Family']",Hardcover,295,Atheneum Books for Young Readers,March 9th 2010,"['Josette Frank Award (2011)', ""Buckeye Children's Book Award for 6-8 (2011)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2013)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2012)"", 'New Mexico Land of Enchantment Award for Young Adult (2013)', 'California Young Readers Medal for Middle School/Junior High (2013)', 'Washington State Sasquatch Award (2013)', 'Bluestem Book Award (2013)', ""Goodreads Choice Award Nominee for Middle Grade & Children's Books (2010)"", 'Intermediate Nutmeg Book Award (2014)', ""Rebecca Caudill Young Readers' Book Award Nominee (2013)"", 'لاک\u200cپشت پرنده Nominee (2016)', 'Premi Protagonista Jove for Categoria 13-14 anys (2015)']",110899,"['61258', '34129', '12199', '2392', '921']",97.0,['Ohio (United States)'],,Sharon M. Draper,,
Outliers: The Story of Success,,4.16,English,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook', 'Personal Development', 'Economics', 'Leadership']",Hardcover,309,"Little, Brown and Company",November 18th 2008,[],556065,"['232206', '214572', '84952', '17317', '7018']",96.0,[],2010.0,Malcolm Gladwell,13499.0,20.54
Pachinko,,4.26,English,"['Historical Fiction', 'Fiction', 'Historical', 'Japan', 'Asia', 'Audiobook', 'Literary Fiction', 'Adult', 'Novels', 'Asian Literature']",Kindle Edition,496,Grand Central Publishing,February 7th 2017,"['Dayton Literary Peace Prize Nominee for Fiction (2018)', 'National Book Award Finalist for Fiction (2017)', 'Goodreads Choice Award Nominee for Historical Fiction (2017)', 'Reading Women Award for Fiction (2017)', 'Litsy Award for Historical Fiction (2017)', 'International Dublin Literary Award Nominee (2019)']",208171,"['95072', '80901', '26000', '4650', '1548']",97.0,"['Korea', 'Osaka (Japan)', 'Busan (Korea, Republic of)']",,Min Jin Lee,,
Paper Towns,,3.8,English,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Adventure', 'Young Adult Contemporary']",Paperback,305,Speak,09/22/09,"[""Anthony Award Nominee for Best Children's/Young Adult Novel (2009)"", 'Edgar Award for Best Young Adult (2009)', 'Rhode Island Teen Book Award Nominee (2010)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2011)', 'The Inky Awards Nominee for Silver Inky (2009)', 'Lincoln Award Nominee (2011)', 'Bronzener Lufti (2010)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Missouri Gateway Readers Award Nominee (2011)', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2010)']",919337,"['280793', '302511', '232162', '77816', '26055']",89.0,"['Orlando, Florida (United States)', 'Agloe, New York (United States)']",2014.0,John Green,8374.0,0.35
Pillow Thoughts,Pillow Thoughts #1,3.83,,"['Poetry', 'LGBT', 'Nonfiction', 'Romance', 'Contemporary', 'Adult', 'Audiobook', 'Love', 'Mental Health', 'Self Help']",Paperback,272,Andrews McMeel Publishing,August 29th 2017,[],14511,"['5170', '4132', '3370', '1278', '561']",87.0,[],,Courtney Peppernell,,
Plenty,,4.22,English,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Vegetarian', 'Food and Drink', 'Culinary', 'Cuisine', 'Health']",Hardcover,288,"Ebury Publishing, Random House",May 1st 2010,[],15687,"['8304', '4326', '1800', '699', '558']",92.0,[],,Yotam Ottolenghi,,
Principles: Life and Work,,4.12,English,"['Business', 'Nonfiction', 'Self Help', 'Leadership', 'Finance', 'Personal Development', 'Philosophy', 'Biography', 'Management', 'Economics']",Audio CD,592,Simon Schuster Audio,September 19th 2017,[],32123,"['14288', '10448', '5045', '1575', '767']",93.0,[],2017.0,Ray Dalio,6555.0,11.5
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,3.7,English,"['Nonfiction', 'Spirituality', 'Religion', 'Memoir', 'Biography', 'Science', 'Christian', 'Inspirational', 'Medical', 'Faith']",Paperback,196,Simon Schuster,October 23rd 2012,[],52050,"['14777', '16365', '13662', '4876', '2370']",86.0,[],2012.0,Eben Alexander,14169.0,0.35
Quiet: The Power of Introverts in a World That Can't Stop Talking,Quiet,4.06,English,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development', 'Sociology', 'Leadership', 'Adult']",Hardcover,333,"Crown Publishing Group/Random House, Inc.",January 24th 2012,"['Guardian First Book Award Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2015)', 'Goodreads Choice Award for Nonfiction (2012)']",323829,"['126571', '119856', '55832', '14027', '7543']",93.0,[],2012.0,Susan Cain,12045.0,19.1
Rage,Courtney #6,4.09,English,"['Fiction', 'Historical Fiction', 'Adventure', 'Africa', 'Historical', 'Thriller', 'Action', 'South Africa', 'Novels', 'Adult']",Paperback,896,St. Martin's Paperbacks,March 6th 2007,[],4811,"['1789', '1876', '976', '136', '34']",96.0,[],2020.0,Bob Woodward,23281.0,12.0
