title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
12 Rules for Life: An Antidote to Chaos,,3.94,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Hardcover,409,Random House Canada,January 23rd 2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],102470,"['42381', '29881', '17108', '7652', '5448']",87.0,[],2019.0,Jordan B. Peterson,27209.0,9.63
1984,,4.19,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",Kindle Edition,237,Houghton Mifflin Harcourt,09/03/13,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']",3140442,"['1474277', '1025880', '453693', '121946', '64646']",94.0,"['London, England', 'England', 'United Kingdom']",,George Orwell,,
21 Lessons for the 21st Century,,4.16,English,"['Nonfiction', 'History', 'Philosophy', 'Science', 'Politics', 'Audiobook', 'Psychology', 'Sociology', 'Society', 'Technology']",Hardcover,372,Random House,September 4th 2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],88101,"['37935', '32513', '13226', '3084', '1343']",95.0,[],,Yuval Noah Harari,,
A Gentleman in Moscow,,4.34,English,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']",Paperback,462,Penguin Books,March 26th 2019,"['Kirkus Prize Nominee for Fiction (2016)', 'Goodreads Choice Award Nominee for Historical Fiction (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'International Dublin Literary Award Nominee (2018)']",293330,"['161425', '87671', '31051', '8990', '4193']",96.0,"['Hotel Metropol, Moscow (Russian Federation)', 'Moscow (Russian Federation)']",,Amor Towles,,
"A Higher Loyalty: Truth, Lies, and Leadership",,4.1,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",Hardcover,290,Flatiron Books,April 17th 2018,['Goodreads Choice Award Nominee for Memoir & Autobiography (2018)'],43575,"['17424', '17058', '6359', '1573', '1161']",94.0,"['White House, Washington, D.C. (United States)', 'United States of America']",2018.0,James Comey,7343.0,10.29
A Little Life,,4.31,English,"['Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Adult', 'Novels', 'Adult Fiction', 'Queer', 'Audiobook', 'Literature']",Hardcover,720,Doubleday,March 10th 2015,"['Booker Prize Nominee (2015)', ""Women's Prize for Fiction Nominee (2016)"", 'Andrew Carnegie Medal Nominee for Fiction (Shortlist) (2016)', 'National Book Award Finalist for Fiction (2015)', 'Kirkus Prize for Fiction (2015)', 'Goodreads Choice Award Nominee for Fiction (2015)', 'Waterstones Book of the Year Nominee (2015)', 'Jarl Hellemann -palkinto (2017)', 'International Dublin Literary Award Nominee for Shortlist (2017)']",211560,"['122769', '52252', '21553', '9093', '5893']",93.0,"['New York City, New York (United States)', 'SoHo, New York City, New York (United States)']",,Hanya Yanagihara,,
A Long Walk to Water: Based on a True Story,,4.28,English,"['Historical Fiction', 'Young Adult', 'Africa', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Historical', 'War', 'Childrens', 'Cultural']",Hardcover,128,Clarion Books,November 15th 2010,"[""Jane Addams Children's Book Award for Older Children (2011)"", ""Flicker Tale Children's Book Award Nominee for Juvenile (2012)"", ""Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2013)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",52998,"['25474', '19066', '6656', '1296', '506']",97.0,"['Sudan', 'East Africa']",2015.0,Linda Sue Park,8426.0,4.79
A Man Called Ove,,4.36,English,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Book Club', 'Adult', 'Adult Fiction', 'Sweden', 'Novels', 'Realistic Fiction']",Hardcover,337,Atria Books,July 15th 2014,[],568758,"['307546', '181844', '59433', '14057', '5878']",96.0,['Sweden'],,Fredrik Backman,,
A Tale of Magic...,A Tale of Magic #1,3.92,,"['Fantasy', 'Middle Grade', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Fairy Tales', 'Adventure', 'Audiobook', 'Action']",Kindle Edition,448,"Little, Brown Books for Young Readers",October 1st 2019,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2019)""]",8132,"['3816', '1912', '1013', '724', '667']",83.0,[],,Chris Colfer,,
A Visit from the Goon Squad,,3.67,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club', 'Adult']",Hardcover,288,Knopf,June 8th 2010,"['Pulitzer Prize for Fiction (2011)', 'Orange Prize Nominee for Fiction Longlist (2011)', 'PEN/Faulkner Award for Fiction Nominee (2011)', 'Los Angeles Times Book Prize for Fiction (2010)', 'National Book Critics Circle Award for Fiction (2010)', 'Galaxy National Book Award for International Author of the Year (2011)', 'Goodreads Choice Award Nominee for Fiction (2010)', 'International Dublin Literary Award Nominee for Shortlist (2012)', 'The Rooster -- The Morning News Tournament of Books (2011)']",175124,"['43841', '61545', '44794', '17868', '7076']",86.0,"['San Francisco, California (United States)', 'New York City, New York (United States)', 'Crandale, New York (United States)', 'Naples (Italy)', 'Pompeii (Italy)', 'Los Angeles, California (United States)', 'Times Square, New York City, New York (United States)']",2011.0,Jennifer Egan,1929.0,12.68
After,After #1,3.74,English,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'College', 'Fiction', 'Contemporary Romance', 'Audiobook', 'Love', 'Adult']",Paperback,582,Gallery Books,October 21st 2014,[],136671,"['54556', '31901', '23586', '12731', '13897']",81.0,['Washington (state) (United States)'],,Morris Gleitzman,,
Against All Odds,Against #1,3.92,English,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Adult', 'Marriage', 'Dark', 'Drama', 'Love', 'Erotica']",Kindle Edition,323,Angie McKeon,April 2nd 2014,[],2712,"['1010', '905', '486', '181', '130']",89.0,[],,Craig Challen,,
Alexander Hamilton,,4.21,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical', 'Biography Memoir', 'American Revolution', 'Unfinished']",Paperback,818,Penguin Books,March 29th 2005,"['George Washington Book Prize (2005)', 'National Book Critics Circle Award Nominee for Biography (2004)']",128855,"['64142', '40687', '15129', '4615', '4282']",93.0,['United States of America'],2016.0,Ron Chernow,13071.0,3.01
All the Light We Cannot See,,4.33,English,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",Hardcover,531,Scribner,05/06/14,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442,"['541185', '329482', '113565', '27961', '12249']",96.0,"['Paris (France)', 'Zollverein (Germany)', 'Evreux (France)', 'Saint-Malo (France)', 'Essen (Germany)', 'Berlin (Germany)', 'Schulpforte (Germany)', 'Vienna (Austria)', 'Épernay (France)', 'Nuremberg (Germany)']",2015.0,Anthony Doerr,40382.0,14.52
Allegiant,Divergent #3,3.62,English,"['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",Paperback,526,HarperCollins Children's Book's,10/22/13,['Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013)'],826865,"['230358', '237634', '218195', '98788', '41890']",83.0,"['Chicago, Illinois (United States)']",2013.0,Veronica Roth,7030.0,13.71
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,,4.0,English,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Paperback,528,HarperCollins,January 3rd 2012,[],110501,"['44354', '35275', '20950', '6607', '3315']",91.0,[],2015.0,Chris Kyle,16858.0,0.35
And the Mountains Echoed,,4.05,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",Hardcover,404,Riverhead Books,May 21st 2013,"['Australian Book Industry Award (ABIA) Nominee for International Book (2014)', 'Andrew Carnegie Medal Nominee for Fiction (2014)', 'Goodreads Choice Award for Fiction (2013)', 'DSC Prize Nominee for South Asian Literature  for Longlist (2015)']",301931,"['107293', '121481', '58470', '11635', '3052']",95.0,"['Kabul (Afghanistan)', 'California (United States)', 'Paris (France)', 'Tinos (Greece)', 'Afghanistan']",2013.0,Khaled Hosseini,12984.0,19.95
Animal Farm,,4.07,English,"['Fiction', 'Classics', 'Dystopia', 'Classic Literature', 'Politics', 'Plays', 'Literature']",Paperback,96,Nick Hern Books,September 1st 2004,[],489,"['207', '167', '75', '23', '17']",92.0,[],,George Orwell,,
Aristotle and Dante Discover the Secrets of the Universe,Aristotle and Dante #1,4.33,English,"['Young Adult', 'LGBT', 'Contemporary', 'Romance', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Queer', 'Coming Of Age', 'Young Adult Contemporary']",Hardcover,359,Simon & Schuster Books for Young Readers,02/21/12,"['Stonewall Book Award for Children’s and Young Adult Literature (2013)', 'Michael L. Printz Award Nominee (2016)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2015)"", ""Lambda Literary Award for LGBT Children's/Young Adult (2013)"", 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2015)', 'Amelia Elizabeth Walden Award Nominee (2013)', 'Lincoln Award Nominee (2016)', 'Pura Belpré Award for Narrative (2013)', 'Les Incorruptibles (2017)']",259916,"['145725', '72372', '29294', '7968', '4557']",95.0,"['El Paso, Texas (United States)', 'Texas (United States)']",,Benjamin Alire Saenz,,
Astrophysics for People in a Hurry,,4.08,English,"['Nonfiction', 'Science', 'Audiobook', 'Physics', 'Space', 'Astronomy', 'History', 'Popular Science', 'Adult', 'Education']",Hardcover,224,W. W. Norton Company,May 2nd 2017,"['Grammy Award Nominee for Best Spoken Word Album (2018)', 'Goodreads Choice Award for Science & Technology (2017)']",113066,"['41004', '46546', '20275', '3691', '1550']",95.0,[],2018.0,Neil deGrasse Tyson,12157.0,9.49
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,4.34,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business', 'Leadership', 'Health', 'Science']",Kindle Edition,319,Avery,October 16th 2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],125755,"['66905', '41442', '13018', '2646', '1744']",97.0,[],2019.0,James Clear,21640.0,11.98
Awful Auntie,,4.21,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Fantasy', 'Audiobook', 'Comedy', 'Novels', 'Adventure', 'Young Adult']",Hardcover,416,HarperCollinsChildren'sBooks,September 25th 2014,['Specsavers National Book Award for Children’s Book of the Year; Audible.co.uk Audiobook of the Year (2014)'],7946,"['3974', '2318', '1157', '325', '172']",94.0,[],,David Walliams,,
Bad Blood,Blood Coven Vampire #4,4.05,English,"['Vampires', 'Young Adult', 'Paranormal', 'Paranormal Romance', 'Romance', 'Fantasy', 'Fiction', 'Supernatural', 'Urban Fantasy', 'Teen']",Paperback,256,Berkley,January 5th 2010,[],4087,"['1754', '1158', '869', '241', '65']",93.0,[],,John Carreyrou,,
Bared to You,Crossfire #1,4.18,English,"['Romance', 'Erotica', 'Contemporary', 'Adult', 'Contemporary Romance', 'Erotic Romance', 'Fiction', 'BDSM', 'New Adult', 'Chick Lit']",Paperback,334,Berkley,02/04/14,"['All About Romance (AAR) Annual Reader Poll for Best Erotic Romance AND Most Tortured Hero (2013)', 'Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)']",453822,"['230795', '121473', '66084', '23103', '12367']",92.0,"['New York City, New York (United States)']",2012.0,Sylvia Day,10507.0,10.0
Becoming,Daughters of Saraqael #1,3.86,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Angels', 'Paranormal Romance', 'Supernatural', 'Young Adult Paranormal', 'Fiction']",ebook,295,Iambe Books,July 2011,[],2470,"['903', '741', '513', '192', '121']",87.0,[],,Michelle Obama,,
Before We Were Yours,,4.37,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Book Club', 'Adult', 'Adult Fiction', 'Family', 'Adoption', 'Contemporary']",Hardcover,342,Ballantine Books,June 6th 2017,['Goodreads Choice Award for Historical Fiction (2017) and Nominee for Best of the Best  (2018)'],376030,"['196193', '134526', '36157', '6289', '2865']",98.0,"['Memphis, Tennessee (United States)', 'South Carolina (United States)']",,Lisa Wingate,,
Before the Coffee Gets Cold,Before the Coffee Gets Cold #1,3.77,English,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Time Travel', 'Japan', 'Japanese Literature', 'Science Fiction', 'Adult', 'Asia']",Paperback,213,Picador,September 19th 2019,['本屋大賞 for 10th place (2017)'],14385,"['3351', '5829', '3993', '977', '235']",92.0,[],,Toshikazu Kawaguchi,,
Being Mortal: Medicine and What Matters in the End,,4.44,English,"['Nonfiction', 'Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Audiobook', 'Death', 'Psychology', 'Memoir']",Hardcover,282,Metropolitan Books,October 7th 2014,"['Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2014)', 'Royal Society of Biology General Book Prize (2015)']",132493,"['79068', '38645', '10263', '2692', '1825']",97.0,[],2015.0,Atul Gawande,12749.0,24.99
Between the World and Me,,4.39,English,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Biography', 'Social Justice', 'Essays', 'Politics', 'African American']",Hardcover,152,Spiegel & Grau,July 14th 2015,"['Pulitzer Prize Nominee for General Nonfiction (2016)', 'National Book Award for Nonfiction (2015)', 'ALA Alex Award (2016)', 'PEN/Diamonstein-Spielvogel Award for the Art of the Essay  (2016)', 'National Book Critics Circle Award Nominee for Criticism (2015)', 'NAIBA Book of the Year for Nonfiction (2016)', 'Kirkus Prize for Nonfiction (2015)', 'Goodreads Choice Award Nominee for Nonfiction (2015)']",235339,"['136056', '69174', '20504', '5880', '3725']",96.0,['United States of America'],2016.0,Ta-Nehisi Coates,14509.0,7.86
Big Little Lies,,4.27,English,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Thriller', 'Mystery Thriller', 'Adult Fiction', 'Australia']",Paperback,460,Berkley Books,February 9th 2017,"['Davitt Award for Best Adult Novel (2015)', 'Australian Book Industry Award (ABIA) Nominee for General Fiction (2015)', 'Goodreads Choice Award Nominee for Fiction (2014)']",747614,"['345232', '292031', '86241', '15575', '8535']",97.0,"['Sydney, New South Wales (Australia)']",2017.0,Liane Moriarty,23894.0,7.78
Billionaire Boy,,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'School', 'Novels', 'Comedy', 'Family', 'Contemporary', 'Chapter Books']",Hardcover,240,HarperCollins,October 28th 2010,[],10605,"['5181', '3240', '1649', '372', '163']",95.0,[],,David Walliams,,
Blue Moon,The Immortals #2,3.61,English,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction', 'Magic', 'Urban Fantasy', 'Teen']",Paperback,284,St. Martin's Griffin,July 7th 2009,"[""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010)""]",87332,"['24272', '24013', '23916', '10558', '4573']",83.0,"['Laguna Beach, California (United States)']",,Lee Child,,
Boomerang: Travels in the New Third World,,3.9,English,"['Nonfiction', 'Economics', 'Business', 'Finance', 'History', 'Politics', 'Travel', 'Audiobook', 'Journalism', 'Money']",Paperback,218,W. W. Norton Company,September 4th 2012,['Goodreads Choice Award Nominee for Nonfiction (2011)'],40789,"['11814', '16937', '9234', '1877', '927']",93.0,[],2011.0,Michael Lewis,1448.0,15.99
Born to Run,,4.18,English,"['Animals', 'Fiction', 'Childrens', 'Novels', 'Adventure', 'Middle Grade', 'Dogs', 'Chapter Books', 'School', 'Health']",Paperback,251,HarperCollins Children's Books,June 1st 2008,['Manchester Book Award  Nominee for Longlist (2009)'],5309,"['2308', '1879', '931', '154', '37']",96.0,[],2016.0,Bruce Springsteen,4288.0,2.5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",,4.29,English,"['Nonfiction', 'Sports', 'Health', 'Fitness', 'Adventure', 'Science', 'Memoir', 'Audiobook', 'Travel', 'Biography']",Hardcover,287,Knopf,May 5th 2009,['Goodreads Choice Award Nominee for Nonfiction (2009)'],168304,"['84420', '57427', '19830', '4400', '2227']",96.0,"['Mexico', 'Colorado (United States)']",2011.0,Christopher McDougall,7586.0,1.14
Brief Answers to the Big Questions,,4.3,,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Audiobook', 'Popular Science', 'Astronomy', 'Space', 'Adult', 'Essays']",Paperback,330,Random House Large Print Publishing,October 16th 2018,['Goodreads Choice Award Nominee for Science & Technology (2018)'],34302,"['16392', '12967', '4046', '647', '250']",97.0,[],,Stephen Hawking,,
Bring Up the Bodies,Thomas Cromwell #2,4.27,English,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Literary Fiction', 'Audiobook', 'Tudor Period', 'Literature', 'Novels', '16th Century']",Hardcover,412,"Henry Holt & Company, Inc.",May 8th 2012,"['Booker Prize (2012)', 'Costa Book Award for Novel (2012)', 'Audie Award for Literary Fiction (2013)', ""Women's Prize for Fiction Nominee (2013)"", 'Andrew Carnegie Medal Nominee for Fiction (2013)', 'Walter Scott Prize Nominee (2013)', 'Goodreads Choice Award Nominee for Historical Fiction (2012)', 'Waterstones Book of the Year Nominee (2012)', 'Costa Book of the Year (2012)']",73119,"['35660', '26088', '7988', '2176', '1207']",95.0,['England'],2012.0,Hilary Mantel,5796.0,21.08
"Brown Bear, Brown Bear, What Do You See?",Bill Martin's Bears #1,4.21,English,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Classics', 'Storytime', 'Poetry', 'Kids', 'Juvenile', 'Young Adult']",Board book,24,Henry Holt and Co.,September 15th 1996,[],151837,"['80378', '36496', '25035', '7022', '2906']",93.0,[],2019.0,Bill Martin Jr.,21233.0,5.0
Burning Chrome,Sprawl #0,4.06,English,"['Science Fiction', 'Cyberpunk', 'Fiction', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Speculative Fiction', 'Dystopia', 'American', 'Anthologies']",Paperback,224,Harper Voyager,July 29th 2003,"['Hugo Award Nominee for Best Novelette for ""The Winter Market"" (1987)', 'Nebula Award Nominee for Best Novelette for ""Burning Chrome"" (1982)', 'Locus Award Nominee for Best Collection (1987)', 'SF Chronicle Award Nominee for Best Novelette for ""The Winter Market"" (1987)']",34520,"['11910', '14162', '7195', '1052', '201']",96.0,[],,William Gibson,,
Call Down the Hawk,Dreamer Trilogy #1,4.36,English,"['Fantasy', 'Young Adult', 'LGBT', 'Fiction', 'Urban Fantasy', 'Paranormal', 'Magical Realism', 'Young Adult Fantasy', 'Audiobook', 'Queer']",Hardcover,472,Scholastic Press,November 5th 2019,['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2019)'],18681,"['9591', '6731', '1910', '340', '109']",98.0,[],,Maggie Stiefvater,,
Call Me By Your Name,Call Me By Your Name #1,4.23,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Audiobook', 'Adult', 'Gay', 'Coming Of Age', 'M M Romance']",Paperback,248,Atlantic Books,September 21st 2017,[],210409,"['107822', '61594', '27353', '9154', '4486']",94.0,"['Italy', 'Italian Riviera (Italy)', 'Liguria (Italy)']",,Andre Aciman,,
Can't Hurt Me: Master Your Mind and Defy the Odds,,4.41,,"['Nonfiction', 'Self Help', 'Biography', 'Personal Development', 'Psychology', 'Audiobook', 'Memoir', 'Autobiography', 'Leadership', 'Military Fiction']",Kindle Edition,366,Lioncrest Publishing,December 4th 2018,[],56489,"['34729', '13829', '5396', '1636', '899']",96.0,[],2019.0,David Goggins,25506.0,17.94
Charlie and the Chocolate Factory,Charlie Bucket #1,4.14,English,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Juvenile', 'Novels']",Paperback,176,Puffin Books,06/02/05,"['Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992)', ""North Dakota Children's Choice Award (1985)""]",664710,"['285308', '229774', '117014', '22663', '9951']",95.0,[],,Roald Dahl,,
Circe,,4.26,English,"['Fantasy', 'Fiction', 'Mythology', 'Historical Fiction', 'Audiobook', 'Retellings', 'Historical', 'Adult', 'Magic', 'Adult Fiction']",Hardcover,393,"Little, Brown and Company",April 10th 2018,"['Mythopoeic Fantasy Award Nominee for Adult Literature (2019)', 'ALA Alex Award (2019)', ""Women's Prize for Fiction Nominee (2019)"", 'Goodreads Choice Award for Fantasy (2018)']",343022,"['165190', '121246', '42221', '9539', '4826']",96.0,"['Aiaia (island)', 'Ancient Greece (Greece)']",,Madeline Miller,,
Cleopatra: A Life,,3.69,English,"['History', 'Biography', 'Nonfiction', 'Historical', 'Egypt', 'Biography Memoir', 'Audiobook', 'Africa', 'Ancient History', 'Womens']",Hardcover,369,"Little, Brown and Company",November 1st 2010,"['PEN/Jacqueline Bograd Weld Award for Biography (2011)', 'Goodreads Choice Award Nominee for History and Biography (2010)']",100222,"['29787', '30954', '23974', '9170', '6337']",85.0,"['Alexandria (Egypt)', 'Ptolemaic Egypt (Egypt)']",2010.0,Stacy Schiff,1175.0,11.0
Cloud Atlas,,4.01,English,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical Fiction', 'Dystopia', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Historical']",Paperback,509,Random House,08/17/04,"['Booker Prize Nominee (2004)', 'Nebula Award Nominee for Best Novel (2004)', 'Locus Award Nominee for Best SF Novel (2005)', 'Arthur C. Clarke Award Nominee (2005)', 'James Tait Black Memorial Prize Nominee for Fiction (2004)', 'British Book Award for Best Read of the Year (2005)', 'National Book Critics Circle Award Nominee for Fiction (2004)', 'Geoffrey Faber Memorial Prize (2005)', 'Tähtivaeltaja Award Nominee (2009)', 'The Rooster -- The Morning News Tournament of Books (2005)']",216149,"['85845', '73665', '36163', '13497', '6979']",91.0,"['Chatham Islands (New Zealand)', 'Neerbeke, West Vlaanderen (Belgium)', 'Buenas Yerbas (United States)', 'London, England', 'Seoul, South Korea (Korea, Republic of)', 'Maui, Hawaii (United States)']",2012.0,David Mitchell,414.0,1.49
Conversations with Friends,,3.81,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Ireland', 'Novels', 'Irish Literature', 'Romance', 'Audiobook', 'LGBT', 'Adult']",Kindle Edition,304,Hogarth,July 11th 2017,"['Dylan Thomas Prize Nominee for Shortlist (2018)', 'Desmond Elliott Prize Nominee for Longlist (2018)', 'Europese Literatuurprijs Nominee (2018)', 'International Dublin Literary Award Nominee for Shortlist (2019)', 'Rathbones Folio Prize Nominee (2018)']",127092,"['33859', '49034', '32535', '9410', '2254']",91.0,[],,Sally Rooney,,
Coraline,,4.01,English,"['Graphic Novels', 'Fantasy', 'Horror', 'Comics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Graphic Novels Comics', 'Adventure']",Hardcover,192,HarperAlley,June 24th 2008,['Locus Award for Best Non-Fiction/ Art Book (2009)'],23415,"['8437', '8455', '5105', '1101', '317']",94.0,[],,Neil Gaiman,,
Crazy Love: Overwhelmed by a Relentless God,,4.15,English,"['Christian', 'Nonfiction', 'Christianity', 'Christian Living', 'Faith', 'Religion', 'Theology', 'Spirituality', 'Christian Non Fiction', 'Inspirational']",Paperback,187,David C. Cook,May 1st 2008,[],149789,"['72214', '43810', '22539', '6890', '4336']",93.0,[],2010.0,Francis Chan,1664.0,14.98
Crime and Punishment,,4.22,English,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",Paperback,671,Penguin,12/31/02,[],626897,"['315090', '188181', '84074', '26493', '13059']",94.0,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia (Russian Federation)']",,Fyodor Dostoyevsky,,
Cutting for Stone,,4.29,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",Hardcover,541,Alfred A. Knopf,02/03/09,"['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",336889,"['175794', '106563', '38090', '10912', '5530']",95.0,"['Addis Ababa (Ethiopia)', 'Madras (India)', 'Kochi (India)', 'Aden (Yemen)', 'Djibouti', 'Asmara (Eritrea)', 'Khartoum (Sudan)', 'Nairobi (Kenya)', 'New York City, New York (United States)', 'Boston, Massachusetts (United States)', 'Rome (Italy)']",2011.0,Abraham Verghese,5286.0,7.59
Dare to Lead,,4.15,English,"['Nonfiction', 'Leadership', 'Business', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Management', 'Education', 'Adult']",ebook,332,Ebury Digital,October 11th 2018,[],43079,"['19337', '14603', '6360', '1819', '960']",94.0,[],,Brene Brown,,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting', 'Business', 'Spirituality', 'Relationships']",Hardcover,287,Avery,September 11th 2012,[],129648,"['65196', '41857', '16176', '4238', '2181']",95.0,[],2017.0,Brené Brown,6890.0,13.07
Dark Emu,,4.4,English,"['Nonfiction', 'History', 'Australia', 'Historical', 'Science', 'Anthropology', 'Audiobook', 'Environment', 'Politics', 'Book Club']",Paperback,176,Magabala Books,2014,"[""Victorian Premier's Literary Award Nominee for Indigenous Writing (2014)""]",7678,"['4227', '2538', '735', '120', '58']",98.0,[],,Bruce Pascoe,,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",,3.95,English,"['Nonfiction', 'Psychology', 'Business', 'Audiobook', 'Self Help', 'Sociology', 'Science', 'History', 'Leadership', 'Personal Development']",Hardcover,305,"Little, Brown and Company",October 1st 2013,"['Audie Award for Nonfiction (2014)', 'Goodreads Choice Award Nominee for Nonfiction (2013)']",147875,"['46186', '59744', '32938', '6711', '2296']",94.0,[],2013.0,Malcolm Gladwell,5371.0,19.19
Dead Wake: The Last Crossing of the Lusitania,,4.09,English,"['Nonfiction', 'History', 'Audiobook', 'Historical', 'War', 'World War I', 'American History', 'Adult', 'Book Club', 'British Literature']",Hardcover,430,Crown Publishers,March 3rd 2015,"['Washington State Book Award for Nonfiction (2016)', 'Goodreads Choice Award for History & Biography (2015)']",109595,"['38605', '48364', '17812', '3185', '1629']",96.0,['Lusitania'],2015.0,Erik Larson,8113.0,26.8
