title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Dare to Lead,Missing,4.15,English,"['Nonfiction', 'Leadership', 'Business', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Management', 'Education', 'Adult']",ebook,332,Ebury,2018,"['19337', '14603', '6360', '1819', '960']",94,Missing,Missing,Brene Brown,Missing
"The Boy, the Mole, the Fox and the Horse",Missing,4.6,English,"['Fiction', 'Graphic Novels', 'Childrens', 'Art', 'Picture Books', 'Poetry', 'Philosophy', 'Animals', 'Self Help', 'Inspirational']",Hardcover,128,Ebury,2019,"['24526', '5883', '2014', '634', '347']",97,Missing,2020,Charlie Mackesy,37452
Plenty,Missing,4.22,English,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Vegetarian', 'Food and Drink', 'Culinary', 'Cuisine', 'Health']",Hardcover,288,Ebury,2010,"['8304', '4326', '1800', '699', '558']",92,Missing,Missing,Yotam Ottolenghi,Missing
The Miniaturist,Missing,3.6,English,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Fantasy', 'Magical Realism', 'Adult', 'Adult Fiction', 'Audiobook', '17th Century']",Hardcover,400,Ecco Press,2014,"['22551', '42439', '35113', '10989', '3812']",87,['Amsterdam (Netherlands)'],Missing,Jessie Burton,Missing
The Giver,The Giver #1,4.13,English,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Childrens', 'Middle Grade', 'Read For School']",Paperback,208,Ember,2006,"['786988', '591426', '293684', '77858', '35098']",94,Missing,Missing,Lois Lowry,Missing
Milkman,Missing,3.56,English,"['Fiction', 'Ireland', 'Literary Fiction', 'Historical Fiction', 'Irish Literature', 'Audiobook', 'Contemporary', 'Novels', 'Unfinished', 'Literature']",ebook,352,Faber & Faber,2018,"['10657', '12509', '9360', '4872', '3112']",80,Missing,Missing,Anna Burns,Missing
Find Me,Call Me By Your Name #2,3.32,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Gay', 'Audiobook', 'Adult', 'Literary Fiction', 'Novels']",Hardcover,260,"Farrar, Straus and Giroux",2019,"['4699', '7571', '8742', '4670', '1770']",77,Missing,Missing,Andre Aciman,Missing
Freedom,Missing,3.76,English,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'American', 'Adult Fiction', 'Family', 'Audiobook', 'Book Club']",Hardcover,562,"Farrar, Straus and Giroux",2010,"['42269', '55185', '33341', '12890', '6550']",87,Missing,2010,Jonathan Franzen,1969
Home,Gilead,04.02,English,"['Fiction', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Literature', 'Religion', 'Contemporary', 'Family', 'Adult Fiction', 'Audiobook']",Hardcover,325,"Farrar, Straus and Giroux",2008,"['7713', '7596', '3816', '1156', '417']",92,"['Gilead, Iowa (United States)']",Missing,Julie Andrews,Missing
"Thinking, Fast and Slow",Missing,4.16,English,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Economics', 'Self Help', 'Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']",Hardcover,499,"Farrar, Straus and Giroux",2011,"['142837', '99486', '47193', '12650', '7159']",94,Missing,2011,Daniel Kahneman,14675
On the Night You Were Born,Missing,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Poetry', 'Love', 'Kids', 'Inspirational', 'Art']",Hardcover,32,Feiwel & Friends,2006,"['8715', '3386', '1853', '527', '186']",95,Missing,Missing,Nancy Tillman,Missing
Sweet,Sweet #1,3.62,English,"['Young Adult', 'Science Fiction', 'Thriller', 'Fiction', 'Survival', 'Romance', 'Suspense', 'Teen', 'Adventure', 'Zombies']",Hardcover,272,Feiwel & Friends,2015,"['714', '914', '802', '325', '116']",85,Missing,Missing,Yotam Ottolenghi,Missing
Love You Forever,Missing,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids', 'Realistic Fiction', 'Canada', 'Juvenile']",Paperback,32,Firefly Books,1995,"['130795', '35789', '20450', '7789', '7578']",92,Missing,2013,Robert Munsch,26343
"A Higher Loyalty: Truth, Lies, and Leadership",Missing,4.1,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",Hardcover,290,Flatiron Books,2018,"['17424', '17058', '6359', '1573', '1161']",94,"['White House, Washington, D.C. (United States)', 'United States of America']",2018,James Comey,7343
Ninth House,Alex Stern #1,04.05,English,"['Fantasy', 'Fiction', 'Mystery', 'Adult', 'Paranormal', 'Urban Fantasy', 'Contemporary', 'Horror', 'Magic', 'Audiobook']",Hardcover,459,Flatiron Books,2019,"['31909', '34591', '14769', '3909', '1588']",94,"['Yale University, New Haven, Connecticut (United States)']",Missing,Leigh Bardugo,Missing
What I Know for Sure,Missing,4.17,English,"['Nonfiction', 'Self Help', 'Audiobook', 'Biography', 'Memoir', 'Inspirational', 'Personal Development', 'Spirituality', 'Autobiography', 'Essays']",Hardcover,228,Flatiron Books,2014,"['13052', '9245', '4693', '1091', '458']",95,Missing,Missing,Oprah Winfrey,Missing
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Missing,4.12,English,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']",Paperback,372,Free Press,2004,"['236705', '164544', '85282', '24020', '13577']",93,Missing,2010,Stephen R. Covey,10715
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,The Harbinger #1,3.96,English,"['Christian', 'Fiction', 'Christian Fiction', 'Religion', 'Christianity', 'Mystery', 'Faith', 'Spirituality', 'Historical Fiction', 'Theology']",Paperback,262,Frontline,2012,"['9461', '5708', '3709', '1517', '1177']",88,Missing,2012,Jonathan Cahn,13699
Metro 2033,МЕТРО #1,4,English,"['Science Fiction', 'Fiction', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Russia', 'Apocalyptic', 'Russian Literature', 'Audiobook']",Paperback,458,Future Corp.,2013,"['14784', '15699', '7732', '2440', '759']",92,"['Moscow (Russian Federation)', 'Moscow (Russian Federation)']",Missing,Dmitry Glukhovsky,Missing
Where the Crawdads Sing,Missing,4.47,English,"['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Adult', 'Book Club', 'Romance', 'Adult Fiction', 'Historical', 'Coming Of Age']",ebook,384,G.P. Putnam’s Sons,2018,"['599977', '270508', '78092', '18729', '7978']",97,"['North Carolina Coast (United States)', 'North Carolina (United States)']",2018,Delia Owens,126306
After,After #1,3.74,English,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'College', 'Fiction', 'Contemporary Romance', 'Audiobook', 'Love', 'Adult']",Paperback,582,Gallery Books,2014,"['54556', '31901', '23586', '12731', '13897']",81,['Washington (state) (United States)'],Missing,Morris Gleitzman,Missing
How to Win Friends and Influence People,Missing,4.2,English,"['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Classics', 'Communication', 'Audiobook', 'Relationships']",Paperback,288,Gallery Books,1998,"['303355', '180793', '89094', '24385', '13731']",94,Missing,Missing,Dale Carnegie,Missing
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Missing,4.15,English,"['Humor', 'Nonfiction', 'Graphic Novels', 'Memoir', 'Comics', 'Comedy', 'Biography', 'Mental Health', 'Adult', 'Short Stories']",Paperback,371,Gallery Books,2013,"['85695', '52536', '24004', '8050', '6326']",92,Missing,2013,Allie Brosh,5891
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Missing,04.01,English,"['Business', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Biography', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Audiobook']",Hardcover,246,Grand Central Publishing,2010,"['25394', '20077', '10437', '3282', '2680']",90,Missing,2010,Tony Hsieh,2009
Friend Request,Missing,3.79,English,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Contemporary', 'Psychological Thriller', 'Adult', 'Audiobook']",Kindle Edition,385,Grand Central Publishing,2017,"['9864', '14900', '10025', '2543', '921']",91,Missing,Missing,Laura Marshall,Missing
Hamilton: The Revolution,Missing,4.46,English,"['Nonfiction', 'History', 'Plays', 'Audiobook', 'Music', 'Historical', 'Theatre', 'Biography', 'Adult', 'Drama']",Hardcover,285,Grand Central Publishing,2016,"['28529', '10961', '3530', '915', '910']",96,Missing,2016,Lin-Manuel Miranda,8327
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Missing,3.99,English,"['Nonfiction', 'Self Help', 'Personal Development', 'Audiobook', 'Leadership', 'Business', 'Military Fiction', 'Memoir', 'Psychology', 'Biography']",Audiobook,2,Grand Central Publishing,2017,"['25326', '18924', '12021', '3813', '2163']",90,Missing,2017,Admiral William H. McRaven,14473
Pachinko,Missing,4.26,English,"['Historical Fiction', 'Fiction', 'Historical', 'Japan', 'Asia', 'Audiobook', 'Literary Fiction', 'Adult', 'Novels', 'Asian Literature']",Kindle Edition,496,Grand Central Publishing,2017,"['95072', '80901', '26000', '4650', '1548']",97,"['Korea', 'Osaka (Japan)', 'Busan (Korea, Republic of)']",Missing,Min Jin Lee,Missing
Safe Haven,Missing,4.21,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love', 'Audiobook']",Kindle Edition,353,Grand Central Publishing,2010,"['157048', '109549', '53353', '10945', '3637']",96,"['Southport, North Carolina (United States)']",2010,Nicholas Sparks,8952
The Best of Me,Missing,3.94,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love']",Hardcover,292,Grand Central Publishing,2011,"['52184', '47027', '32392', '9975', '2900']",91,"['Oriental, North Carolina (United States)', 'Oriental, North Carolina (United States)']",2011,Nicholas Sparks,6112
The Choice,Missing,4,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Love', 'Drama', 'Audiobook']",Kindle Edition,325,Grand Central Publishing,2007,"['57347', '50719', '33168', '8425', '2590']",93,['North Carolina (United States)'],Missing,Edith Eger,Missing
The Longest Ride,Missing,4.15,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Realistic Fiction']",Hardcover,398,Grand Central Publishing,2013,"['47929', '39691', '19095', '4208', '1281']",95,Missing,2013,Nicholas Sparks,11311
Guinness World Records 2012,Guinness World Records,4.18,English,"['Nonfiction', 'Reference', 'History', 'Trivia', 'School']",Hardcover,288,Guinness World Records,2011,"['415', '219', '129', '43', '16']",93,Missing,2011,Guinness World Records,395
"Girl, Woman, Other",Missing,4.42,English,"['Fiction', 'Feminism', 'Contemporary', 'Short Stories', 'Literary Fiction', 'LGBT', 'Race', 'Audiobook', 'Queer', 'Novels']",Hardcover,453,Hamish Hamilton,2019,"['44433', '24900', '6898', '1377', '533']",98,Missing,Missing,Bernardine Evaristo,Missing
The Little Prince,Missing,4.31,English,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']",Paperback,93,"Harcourt, Inc.",2000,"['765471', '352384', '170246', '50086', '24861']",95,Missing,Missing,Antoine de Saint-Exupery,Missing
Everything I Know About Love,Missing,4.19,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Feminism', 'Romance', 'Autobiography', 'Contemporary', 'Essays', 'Biography Memoir']",Hardcover,368,Harper,2020,"['21903', '14705', '6817', '1934', '782']",94,Missing,Missing,Dolly Alderton,Missing
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Missing,3.93,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Politics', 'Biography Memoir', 'Sociology', 'History', 'Autobiography', 'Book Club']",Hardcover,257,Harper,2016,"['92226', '122846', '65341', '16023', '5616']",93,"['Middletown, Ohio (United States)', 'New Haven, Connecticut (United States)', 'Jackson, Kentucky (United States)']",2017,J. D. Vance,19318
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Missing,3.94,English,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business', 'Humor', 'Adult', 'Unfinished']",ebook,224,Harper,2016,"['193399', '178900', '105988', '34536', '16822']",90,Missing,2017,Mark Manson,37307
The Tattooist of Auschwitz,The Tattooist of Auschwitz #1,4.25,English,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Holocaust', 'War', 'Romance', 'Adult', 'Adult Fiction']",Hardcover,262,Harper,2018,"['227273', '155594', '60039', '14908', '6393']",95,"['Krompachy (Slovakia)', 'Oświęcim (Auschwitz) (Poland)']",Missing,Heather Morris,Missing
Through My Eyes,Missing,3.94,English,"['Sports', 'Biography', 'Nonfiction', 'Christian', 'Football', 'Autobiography', 'Memoir', 'Inspirational', 'Faith', 'Audiobook']",Hardcover,272,Harper,2011,"['4017', '3335', '2244', '691', '351']",90,Missing,2011,Tim Tebow,813
Never Split the Difference,Missing,4.4,English,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Leadership', 'Communication', 'Audiobook', 'Management', 'Buisness']",Hardcover,274,Harper Business,2016,"['32947', '18476', '5750', '1086', '567']",97,Missing,Missing,Chris Voss,Missing
The Intelligent Investor,Missing,4.23,English,"['Finance', 'Business', 'Nonfiction', 'Economics', 'Money', 'Personal Finance', 'Self Help', 'Buisness', 'Personal Development', 'Reference']",Paperback,623,Harper Business,2006,"['40888', '24579', '10305', '2821', '2126']",94,Missing,Missing,Benjamin Graham,Missing
How the Grinch Stole Christmas!,Missing,4.36,English,"['Childrens', 'Picture Books', 'Christmas', 'Classics', 'Fiction', 'Poetry', 'Holiday', 'Fantasy', 'Humor', 'Kids']",Hardcover,64,HarperCollins,2004,"['196470', '77848', '40129', '10035', '5732']",95,"['Who-ville, Mount Crumpit']",Missing,Dr. Seuss,Missing
Island,Missing,3.83,English,"['Fiction', 'Classics', 'Science Fiction', 'Philosophy', 'Dystopia', 'Literature', 'Novels', 'Utopia', 'Fantasy', 'British Literature']",Paperback,354,Harper Perennial Classics,2002,"['8318', '8200', '5692', '2199', '847']",88,Missing,Missing,Aldous Huxley,Missing
To Kill a Mockingbird,To Kill a Mockingbird,4.28,English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",Paperback,324,Harper Perennial Modern Classics,2006,"['2363896', '1333153', '573280', '149952', '80794']",95,"['Maycomb, Alabama (United States)']",2013,Harper Lee,35375
Burning Chrome,Sprawl #0,04.06,English,"['Science Fiction', 'Cyberpunk', 'Fiction', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Speculative Fiction', 'Dystopia', 'American', 'Anthologies']",Paperback,224,Harper Voyager,2003,"['11910', '14162', '7195', '1052', '201']",96,Missing,Missing,William Gibson,Missing
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Missing,4,English,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Paperback,528,HarperCollins,2012,"['44354', '35275', '20950', '6607', '3315']",91,Missing,2015,Chris Kyle,16858
Billionaire Boy,Missing,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'School', 'Novels', 'Comedy', 'Family', 'Contemporary', 'Chapter Books']",Hardcover,240,HarperCollins,2010,"['5181', '3240', '1649', '372', '163']",95,Missing,Missing,David Walliams,Missing
Goodnight Moon,Over the Moon #2,4.28,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",Hardcover,32,HarperCollins,2007,"['173548', '69785', '43078', '12325', '6706']",94,Missing,2014,Margaret Wise Brown,13055
Once,Eve #2,3.9,English,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Post Apocalyptic', 'Fantasy', 'Fiction', 'Adventure', 'Teen', 'Audiobook']",Hardcover,354,HarperCollins,2012,"['6073', '6577', '4646', '1185', '340']",92,"['Sausalito, California (United States)', 'Las Vegas, Nevada (United States)']",Missing,Morris Gleitzman,Missing
The One and Only Ivan,The One and Only Ivan #1,4.25,English,"['Middle Grade', 'Fiction', 'Animals', 'Childrens', 'Young Adult', 'Fantasy', 'Juvenile', 'Audiobook', 'Realistic Fiction', 'Chapter Books']",Hardcover,307,HarperCollins,2012,"['73602', '41450', '16858', '5095', '3981']",94,Missing,2013,Katherine Applegate,11779
Grandpa's Great Escape,Missing,4.34,English,"['Childrens', 'Fiction', 'Middle Grade', 'Adventure', 'Humor', 'Historical Fiction', 'Audiobook', 'Family', 'War', 'Contemporary']",Hardcover,462,HarperCollins,2015,"['3651', '1780', '811', '179', '99']",96,Missing,Missing,David Walliams,Missing
Mr Stink,Missing,4.22,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Novels', 'Comedy', 'Young Adult', 'Chapter Books', 'School', 'Contemporary']",Paperback,267,HarperCollins,2009,"['5271', '3399', '1623', '382', '160']",95,Missing,Missing,David Walliams,Missing
Born to Run,Missing,4.18,English,"['Animals', 'Fiction', 'Childrens', 'Novels', 'Adventure', 'Middle Grade', 'Dogs', 'Chapter Books', 'School', 'Health']",Paperback,251,HarperCollins,2008,"['2308', '1879', '931', '154', '37']",96,Missing,2016,Bruce Springsteen,4288
Gangsta Granny,Missing,4.29,English,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Adventure', 'Novels', 'Family', 'Comedy', 'Young Adult', 'Audiobook']",Hardcover,299,HarperCollins,2011,"['7937', '4709', '1990', '462', '182']",96,Missing,Missing,David Walliams,Missing
Allegiant,Divergent #3,3.62,English,"['Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Fantasy', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",Paperback,526,HarperCollins,2013,"['230358', '237634', '218195', '98788', '41890']",83,"['Chicago, Illinois (United States)']",2013,Veronica Roth,7030
State of Wonder,Missing,3.88,English,"['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction', 'Adult Fiction', 'Adult', 'Mystery', 'Novels', 'Audiobook', 'Adventure']",Hardcover,353,HarperCollins,2011,"['45221', '68455', '38699', '9518', '2594']",93,"['Amazon Rainforest', 'Minneapolis-St. Paul, Minnesota (United States)']",2011,Ann Patchett,2574
The Giving Tree,Missing,4.37,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",Hardcover,64,HarperCollins,1964,"['556142', '204347', '94819', '27950', '22473']",94,Missing,2017,Shel Silverstein,15066
Awful Auntie,Missing,4.21,English,"['Childrens', 'Fiction', 'Middle Grade', 'Humor', 'Fantasy', 'Audiobook', 'Comedy', 'Novels', 'Adventure', 'Young Adult']",Hardcover,416,HarperCollins,2014,"['3974', '2318', '1157', '325', '172']",94,Missing,Missing,David Walliams,Missing
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Missing,3.6,English,"['Nonfiction', 'Theology', 'Religion', 'Christian', 'Christianity', 'Spirituality', 'Faith', 'Philosophy', 'Christian Living', 'Audiobook']",Kindle Edition,243,HarperOne,2011,"['7182', '7433', '4944', '2090', '2586']",81,Missing,2011,Rob Bell,1780
The Alchemist,Missing,3.88,English,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']",Paperback,182,HarperOne,2014,"['805221', '613564', '414410', '172160', '102377']",87,"['Egypt', 'Sahara Desert', 'Tangier (Morocco)', 'Andalusia (Spain)']",2011,Paulo Coelho,41984
Red Queen,Red Queen #1,04.04,English,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Science Fiction', 'Audiobook', 'Paranormal']",Hardcover,383,HarperTeen,2015,"['234646', '184497', '97709', '32051', '16115']",91,Missing,Missing,Victoria Aveyard,Missing
Serpent & Dove,Serpent & Dove #1,4.12,English,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Witches', 'Magic', 'Fiction', 'Paranormal', 'New Adult', 'Audiobook']",Hardcover,513,HarperTeen,2019,"['26176', '22216', '9428', '3106', '1123']",93,Missing,Missing,Shelby Mahurin,Missing
Sapiens: A Brief History of Humankind,Missing,4.42,English,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Anthropology', 'Audiobook', 'Sociology', 'Historical', 'Psychology', 'Evolution']",Paperback,498,Harvill Secker,2014,"['295807', '143811', '45188', '11210', '6409']",96,Missing,2017,Yuval Noah Harari,32905
"Gmorning, Gnight!: Little Pep Talks for Me & You",Missing,4.33,English,"['Poetry', 'Nonfiction', 'Self Help', 'Audiobook', 'Adult', 'Inspirational', 'Humor', 'Contemporary', 'Mental Health', 'Graphic Novels']",Capa dura,207,Headline,2018,"['9731', '4882', '1930', '517', '348']",95,Missing,2018,Lin-Manuel Miranda,2930
Bring Up the Bodies,Thomas Cromwell #2,4.27,English,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Literary Fiction', 'Audiobook', 'Tudor Period', 'Literature', 'Novels', '16th Century']",Hardcover,412,"Henry Holt & Company, Inc.",2012,"['35660', '26088', '7988', '2176', '1207']",95,['England'],2012,Hilary Mantel,5796
"Brown Bear, Brown Bear, What Do You See?",Bill Martin's Bears #1,4.21,English,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Classics', 'Storytime', 'Poetry', 'Kids', 'Juvenile', 'Young Adult']",Board book,24,Henry Holt and Co.,1996,"['80378', '36496', '25035', '7022', '2906']",93,Missing,2015,Bill Martin Jr.,21233
Fire and Fury: Inside the Trump White House,Missing,3.44,English,"['Nonfiction', 'Politics', 'History', 'Audiobook', 'Biography', 'American History', 'Unfinished', 'Presidents', 'Journalism', 'American']",Hardcover,322,Henry Holt and Co.,2018,"['11596', '22558', '25694', '8399', '3068']",84,"['White House, Washington, D.C. (United States)']",2018,Michael Wolff,14617
Killing Kennedy: The End of Camelot,Bill O'Reilly's Killing Series,04.07,English,"['History', 'Nonfiction', 'Biography', 'Historical', 'Politics', 'American History', 'Audiobook', 'Presidents', 'True Crime', 'Biography Memoir']",Hardcover,325,Henry Holt and Co.,2012,"['18482', '20237', '8260', '1717', '1074']",94,Missing,2012,Bill O'Reilly,8933
Six of Crows,The Six of Crows Trilogy #1,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic', 'Romance', 'LGBT', 'High Fantasy', 'Audiobook']",Hardcover,465,Henry Holt and Company,2015,"['187881', '90755', '26115', '6821', '4135']",97,['Ketterdam'],Missing,Leigh Bardugo,Missing
East,East #1,4.14,English,"['Fantasy', 'Young Adult', 'Fairy Tales', 'Romance', 'Retellings', 'Fiction', 'Adventure', 'Magic', 'Middle Grade', 'Young Adult Fantasy']",Paperback,507,HMH Books for Young Readers,2005,"['17470', '12953', '6923', '1608', '547']",95,"['Andalsnes (Norway)', 'La Rochelle (France)']",Missing,Meera Sodha,Missing
Conversations with Friends,Missing,3.81,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Ireland', 'Novels', 'Irish Literature', 'Romance', 'Audiobook', 'LGBT', 'Adult']",Kindle Edition,304,Hogarth,2017,"['33859', '49034', '32535', '9410', '2254']",91,Missing,Missing,Sally Rooney,Missing
Normal People,Missing,3.86,English,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Ireland', 'Audiobook', 'Adult', 'Novels', 'Adult Fiction', 'Irish Literature']",Hardcover,273,Hogarth,2019,"['123183', '150663', '91765', '29565', '9825']",90,['Ireland'],Missing,Sally Rooney,Missing
1984,Missing,4.19,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",Kindle Edition,237,Houghton Mifflin Harcourt,2013,"['1474277', '1025880', '453693', '121946', '64646']",94,"['London, England', 'England', 'United Kingdom']",Missing,George Orwell,Missing
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Missing,04.09,English,"['Business', 'Nonfiction', 'Self Help', 'Personal Development', 'Productivity', 'Psychology', 'Leadership', 'Entrepreneurship', 'Health', 'Philosophy']",Kindle Edition,707,Houghton Mifflin Harcourt,2016,"['13199', '9800', '4732', '1569', '833']",92,Missing,2017,Timothy Ferriss,5089
Sh*t My Dad Says,Sh*t My Dad Says #1,3.98,English,"['Humor', 'Nonfiction', 'Memoir', 'Comedy', 'Biography', 'Audiobook', 'Adult', 'Family', 'Biography Memoir', 'Autobiography']",Hardcover,159,It Books,2010,"['52444', '49395', '29940', '7672', '3120']",92,Missing,2010,Justin Halpern,1397
The Road Back to You: An Enneagram Journey to Self-Discovery,Missing,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Christian', 'Personal Development', 'Spirituality', 'Audiobook', 'Faith', 'Religion', 'Leadership']",Hardcover,238,IVP Books,2016,"['13530', '10953', '3495', '670', '417']",96,Missing,2019,Ian Morgan Cron,5900
The Five Dysfunctions of a Team: A Leadership Fable,Missing,04.06,English,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Psychology', 'Entrepreneurship', 'Audiobook']",Hardcover,227,Jossey-Bass,2002,"['31349', '28676', '13991', '3349', '1940']",93,Missing,2010,Patrick Lencioni,3792
Northern Lights,Missing,04.01,English,"['Romance', 'Romantic Suspense', 'Mystery', 'Fiction', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Chick Lit', 'Thriller', 'Crime']",Mass Market Paperback,637,Jove,2005,"['14008', '14730', '9127', '1724', '378']",95,"['Lunacy, Alaska (United States)']",Missing,Philip Pullman,Missing
Divergent,Divergent #1,4.19,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Paperback,487,Katherine Tegen Books,2012,"['1409189', '882493', '434381', '123286', '56909']",94,"['Chicago, Illinois (United States)']",2013,Veronica Roth,28544
The Most Magnificent Thing,Missing,4.32,English,"['Picture Books', 'Childrens', 'Fiction', 'Growth Mindset', 'Realistic Fiction', 'Dogs', 'Storytime', 'Engineering', 'Kids', 'Animals']",Hardcover,44,Kids Can Press,2014,"['2940', '2135', '721', '111', '40']",97,Missing,Missing,Ashley Spires,Missing
A Visit from the Goon Squad,Missing,3.67,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club', 'Adult']",Hardcover,288,Knopf,2010,"['43841', '61545', '44794', '17868', '7076']",86,"['San Francisco, California (United States)', 'New York City, New York (United States)', 'Crandale, New York (United States)', 'Naples (Italy)', 'Pompeii (Italy)', 'Los Angeles, California (United States)', 'Times Square, New York City, New York (United States)']",2011,Jennifer Egan,1929
