title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Matilda,Missing,4.32,English,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Middle Grade', 'Humor', 'Audiobook', 'Magic', 'Juvenile']",Paperback,240,Puffin Books,1998,"['340257', '203271', '82637', '14606', '6896']",97,['United Kingdom'],Missing,Roald Dahl,Missing
Room on the Broom,Missing,4.43,English,"['Picture Books', 'Halloween', 'Childrens', 'Animals', 'Fiction', 'Witches', 'Fantasy', 'Poetry', 'Holiday', 'Storytime']",Paperback,32,Puffin Books,2003,"['10250', '4407', '1778', '323', '199']",97,Missing,Missing,Julia Donaldson,Missing
The Very Hungry Caterpillar,Missing,4.3,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting', 'Storytime', 'Kids', 'Mathematics']",Board book,26,Puffin Books,1994,"['228021', '90789', '53120', '15051', '9129']",94,Missing,2013,Eric Carle,30371
The Outsiders,Missing,4.1,English,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",Mass Market Paperback,192,Puffin Books,1997,"['396850', '309135', '173456', '44305', '14404']",94,"['Tulsa, Oklahoma (United States)']",2014,S. E. Hinton,14704
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children #1,3.91,English,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Time Travel', 'Historical Fiction', 'Supernatural', 'Adventure']",Hardcover,352,Quirk,2011,"['331709', '335251', '223102', '64434', '22584']",91,"['Englewood, Florida (United States)', 'Wales']",2011,Ransom Riggs,10925
21 Lessons for the 21st Century,Missing,4.16,English,"['Nonfiction', 'History', 'Philosophy', 'Science', 'Politics', 'Audiobook', 'Psychology', 'Sociology', 'Society', 'Technology']",Hardcover,372,Random House,2018,"['37935', '32513', '13226', '3084', '1343']",95,Missing,Missing,Yuval Noah Harari,Missing
Cloud Atlas,Missing,04.01,English,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical Fiction', 'Dystopia', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'Historical']",Paperback,509,Random House,2004,"['85845', '73665', '36163', '13497', '6979']",91,"['Chatham Islands (New Zealand)', 'Neerbeke, West Vlaanderen (Belgium)', 'Buenas Yerbas (United States)', 'London, England', 'Seoul, South Korea (Korea, Republic of)', 'Maui, Hawaii (United States)']",2012,David Mitchell,414
Dr. Seuss's ABC,Missing,04.09,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Kids', 'Fantasy', 'Humor', 'Juvenile', 'Animals']",Board Book,21,Random House,1996,"['19737', '10563', '8424', '2414', '943']",92,Missing,Missing,Dr. Seuss,Missing
Educated,Missing,4.47,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult', 'Education', 'Religion']",Hardcover,334,Random House,2018,"['477689', '236894', '62027', '12742', '6667']",98,"['Idaho Mountains (United States)', 'Idaho (United States)', 'Arizona (United States)', 'Rome (Italy)', 'Paris (France)', 'Palmyra, New York (United States)', 'Boston, Massachusetts (United States)', 'Harvard University, Cambridge, Massachusetts (United States)', 'Cambridge, England (United Kingdom)']",Missing,Tara Westover,Missing
Mindset: The New Psychology of Success,Missing,04.06,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",Hardcover,276,Random House,2006,"['35986', '30322', '15675', '4450', '1955']",93,Missing,2013,Carol S. Dweck,7544
Olive Kitteridge,Olive Kitteridge #1,3.83,English,"['Fiction', 'Short Stories', 'Literary Fiction', 'Contemporary', 'Book Club', 'Adult Fiction', 'Adult', 'Novels', 'Literature', 'Audiobook']",Hardcover,270,Random House,2008,"['48905', '65513', '40548', '12471', '4199']",90,"['Crosby, Maine (United States)', 'Maine (United States)']",Missing,Elizabeth Strout,Missing
The Power of Habit: Why We Do What We Do in Life and Business,Missing,4.1,English,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Productivity', 'Science', 'Audiobook', 'Leadership', 'Sociology']",Hardcover,375,Random House,2012,"['137742', '128611', '58483', '12468', '6148']",95,Missing,2012,Charles Duhigg,13109
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Missing,3.82,English,"['Nonfiction', 'Memoir', 'Psychology', 'Biography', 'Biography Memoir', 'Japan', 'Autobiography', 'Mental Health', 'Education', 'Japanese Literature']",Hardcover,135,Random House,2013,"['12535', '15186', '10776', '3053', '1115']",90,Missing,2013,Naoki Higashida,4716
The Road to Character,Missing,3.67,English,"['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Biography', 'Leadership', 'Personal Development', 'History', 'Business', 'Audiobook']",Hardcover,320,Random House,2015,"['4941', '6459', '5286', '1888', '773']",86,Missing,2015,David Brooks,2373
